train_domain,train_profile,test_group,snr_db,num_train_seeds,mean_seed_ber,std_seed_ber,ci95_low,ci95_high,mean_seed_bce,pooled_ber,errors,trials
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,20.0,3,1.70484001253858e-05,1.5222334081290906e-06,1.3266962710023884e-05,2.0829837540747717e-05,4.575864877190382e-05,1.7048400125385804e-05,724,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,-10.0,3,0.3817416532540027,5.6330698419683426e-05,0.3816017200417239,0.38188158646628156,0.6500603963195543,0.3817416532540027,16211548,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,-8.0,3,0.35121055885597513,0.00011046027121153703,0.35093616033059805,0.3514849573813522,0.6252357981823109,0.35121055885597513,14914974,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,-6.0,3,0.31440000180844907,8.96842335063454e-05,0.31417721382183816,0.31462278979506,0.5883104011048506,0.31440000180844907,13351728,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,-4.0,3,0.27083123760458866,0.00013574100617143412,0.2704940382521146,0.2711684369570627,0.535219387691698,0.27083123760458866,11501479,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,-2.0,3,0.22116566881721403,6.547768513177915e-05,0.22100301323029395,0.2213283244041341,0.4627133537957698,0.22116566881721403,9392315,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,0.0,3,0.16712843341591918,5.4047423459812726e-05,0.16699417217307466,0.1672626946587637,0.370711512679671,0.16712843341591918,7097498,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,2.0,3,0.11299780857415846,0.00011132301602803988,0.11272126687184703,0.1132743502764699,0.26548760250946624,0.11299780857415846,4798715,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,4.0,3,0.06522322289737655,0.0001238651522541135,0.06491552480147883,0.06553092099327426,0.1616011831311532,0.06522322289737655,2769856,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,6.0,3,0.03019003220546393,8.160954499107713e-05,0.029987302857105186,0.030392761553822673,0.07826228752548313,0.03019003220546393,1282090,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,8.0,3,0.010413605489848573,2.311958192068085e-05,0.010356173264517349,0.010471037715179796,0.02807340171923976,0.010413605489848573,442238,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,10.0,3,0.0026470231421199843,7.460846889956069e-06,0.002628489370998352,0.0026655569132416164,0.007303590319309108,0.0026470231421199847,112412,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,12.0,3,0.0005727697301793982,3.1106791823075244e-06,0.0005650423747131807,0.0005804970856456156,0.0016177103650899182,0.0005727697301793982,24324,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,14.0,3,0.00014422852316020446,4.078549061454788e-08,0.0001441272063848728,0.00014432983993553611,0.00041449288734984744,0.00014422852316020446,6125,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,16.0,3,4.671826774691358e-05,4.316330610633972e-07,4.564603178224744e-05,4.779050371157972e-05,0.00013547694382825485,4.671826774691358e-05,1984,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,18.0,3,1.7896110628858026e-05,7.813375978369564e-07,1.5955160436389836e-05,1.9837060821326216e-05,5.255609203070463e-05,1.7896110628858026e-05,760,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_e,20.0,3,7.299729335455246e-06,6.5638035266859e-07,5.6691901480779e-06,8.930268522832593e-06,2.5049888606778587e-05,7.299729335455247e-06,310,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,uma,-10.0,3,0.4059009316526813,0.0004342823412809959,0.4048221145111174,0.40697974879424526,0.6629525349463945,0.4059009316526813,4309382,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,-8.0,3,0.37627674620828505,0.00018983970141150017,0.3758051582468036,0.3767483341697665,0.6411743605578387,0.3762767462082851,3994867,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,-6.0,3,0.3408019454390914,0.0001285094826690813,0.3404827101868636,0.34112118069131925,0.608083274629381,0.3408019454390914,3618237,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,-4.0,3,0.29952353018301503,0.00013189581211187572,0.2991958828221137,0.2998511775439164,0.5607753028104335,0.29952353018301503,3179991,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,-2.0,3,0.2536093629436728,0.00019267977461042007,0.2531307198492535,0.2540880060380921,0.4977222574345859,0.25360936294367287,2692528,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,0.0,3,0.20466397132402583,0.00021618193771573497,0.20412694561992673,0.20520099702812494,0.4203775035746304,0.20466397132402586,2172883,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,2.0,3,0.1560471146195023,0.00018618801164094353,0.15558459795829183,0.15650963128071277,0.3347842535118997,0.15604711461950233,1656726,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,4.0,3,0.11264339494116511,0.00014683329480812227,0.11227864081617799,0.11300814906615224,0.2517280267712511,0.11264339494116513,1195916,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,6.0,3,0.07803382402584876,0.00012797818876790585,0.07771590858083695,0.07835173947086056,0.18305129640632203,0.07803382402584877,828472,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,8.0,3,0.05370801760826582,0.00020020337347920907,0.05321068485816778,0.054205350358363866,0.13550524441180406,0.053708017608265816,570209,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,10.0,3,0.038308414412133486,0.00021895839445785887,0.03776449160713596,0.038852337217131015,0.10820701709132136,0.038308414412133486,406714,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,12.0,3,0.02895477671682099,0.00026421161914172826,0.028298438669803725,0.029611114763838254,0.09390031123234903,0.028954776716820986,307408,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,14.0,3,0.02308946774329668,0.0003172146011058392,0.022301462989942192,0.02387747249665117,0.08551302924752235,0.023089467743296684,245137,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,16.0,3,0.01935285403404707,0.00032962247110795664,0.018534026422896668,0.020171681645197472,0.07989164777559998,0.019352854034047066,205466,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,18.0,3,0.01693367663724923,0.0003169001860887355,0.0161464529340959,0.01772090034040256,0.07447518608360379,0.016933676637249227,179782,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma,20.0,3,0.015333952727141205,0.0003204773018405033,0.014537842975849277,0.01613006247843313,0.06888602537183482,0.015333952727141205,162798,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,-10.0,3,0.4059009316526813,0.0004342823412809959,0.4048221145111174,0.40697974879424526,0.6629525349463945,0.4059009316526813,4309382,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,-8.0,3,0.37627674620828505,0.00018983970141150017,0.3758051582468036,0.3767483341697665,0.6411743605578387,0.3762767462082851,3994867,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,-6.0,3,0.3408019454390914,0.0001285094826690813,0.3404827101868636,0.34112118069131925,0.608083274629381,0.3408019454390914,3618237,10616832
