train_domain,test_group,snr_db,num_train_seeds,real_pooled_ber,a_pooled_ber,pooled_difference,pooled_ratio,mean_paired_seed_difference,std_paired_seed_difference,paired_ci95_low,paired_ci95_high,real_mean_seed_bce,a_mean_seed_bce,mean_paired_seed_bce_difference,std_paired_seed_bce_difference,paired_bce_ci95_low,paired_bce_ci95_high
tdl_mix,umi_normalized,-4.0,3,0.2819114025728202,0.28159153314284335,0.0003198694299768601,1.001135934118497,0.0003198694299768601,0.00018056300054859956,-0.00012867392904958032,0.0007684127890033004,0.5443885414688676,0.5438939778157222,0.0004945636531453745,0.0003242230265691646,-0.0003108509942032063,0.0012999783004939555
tdl_mix,umi_normalized,-2.0,3,0.233613661777826,0.23251323935426313,0.001100422423562869,1.0047327301732107,0.0011004224235628783,0.0001388527876670688,0.0007554929773244796,0.0014453518698012771,0.4749709018218664,0.4733481491789406,0.0016227526429258472,0.0003360346332187005,0.0007879963380616899,0.0024575089477900046
tdl_mix,umi_normalized,0.0,3,0.18141560495635609,0.18003487292631173,0.0013807320300443515,1.0076692476718634,0.00138073203004437,0.0001249638679925518,0.0010703045729462076,0.0016911594871425323,0.38796979152126077,0.3853137743325881,0.0026560171886726622,0.0003286935860627304,0.0018394970558930736,0.0034725373214522506
tdl_mix,umi_normalized,2.0,3,0.12937550485869984,0.12773857587649498,0.001636928982204855,1.012814680068044,0.0016369289822048456,0.0001960493328576462,0.001149915441071358,0.002123942523338333,0.2895261086063621,0.286029655624319,0.0034964529820430412,0.0003200934718858177,0.0027012967172164834,0.0042916092468695995
tdl_mix,umi_normalized,4.0,3,0.08312884672188464,0.08141364580319252,0.0017152009186921224,1.0210677325867263,0.0017152009186921318,7.423532955702578e-05,0.0015307901369883748,0.0018996117003958887,0.19237880335177904,0.1885431204681043,0.0038356828836747237,0.00024808590266772767,0.003219403337081023,0.0044519624302684245
tdl_mix,umi_normalized,6.0,3,0.04767749927662037,0.0463006290388696,0.0013768702377507727,1.0297376140742036,0.0013768702377507703,6.907747411355281e-05,0.001205272279266383,0.0015484681962351576,0.11228812559519286,0.10882787774374457,0.0034602478514482913,0.0001864153803755498,0.0029971663749896902,0.003923329327906892
tdl_mix,umi_normalized,8.0,3,0.025305194619261187,0.024376763237847224,0.0009284313814139633,1.0380867374538258,0.0009284313814139668,1.7013759192851754e-05,0.0008861668605827754,0.0009706959022451582,0.05932997461454368,0.056825537510492186,0.002504437104051497,0.00012903531062074131,0.002183895622779041,0.002824978585323953
tdl_mix,umi_normalized,10.0,3,0.013644559883777007,0.013091193305121528,0.000553366578655479,1.0422701403728407,0.0005533665786554785,1.264429146245988e-05,0.0005219564173940379,0.000584776739916919,0.031280234502053555,0.02978727573321925,0.0014929587688343043,9.16607621716822e-05,0.0012652608128272873,0.0017206567248413214
tdl_mix,umi_normalized,12.0,3,0.008021413544077932,0.007693067009066358,0.00032834653501157343,1.0426808364758313,0.0003283465350115737,3.3908420138889853e-06,0.00031992321648996783,0.0003367698535331796,0.018055190688666,0.01714250939771717,0.000912681290948833,7.416029070645364e-05,0.0007284569160836358,0.0010969056658140302
tdl_mix,umi_normalized,14.0,3,0.0050448193962191355,0.004775624216338734,0.0002691951798804012,1.0563685850656779,0.0002691951798804012,2.7370437459041404e-05,0.00020120324399873555,0.0003371871157620669,0.011366143644453935,0.010630269810833313,0.0007358738336206225,7.507171927743998e-05,0.0005493853446705862,0.0009223623225706587
tdl_mix,umi_normalized,16.0,3,0.0033379072024498457,0.003065980510947145,0.0002719266915027006,1.0886915916561704,0.00027192669150270045,3.770097447872009e-05,0.000178272279026853,0.0003655811039785479,0.007543862797319889,0.006842979012965512,0.0007008837843543771,8.914196376756194e-05,0.0004794428704515671,0.0009223246982571872
tdl_mix,umi_normalized,18.0,3,0.002291173110773534,0.0020110518844039353,0.0002801212263695988,1.1392908997236664,0.0002801212263695988,4.838170121232494e-05,0.00015993441782490578,0.00040030803491429177,0.0052307635778561234,0.004513022718364718,0.0007177408594914057,7.24578444544099e-05,0.0005377455955632973,0.0008977361234195141
tdl_mix,umi_normalized,20.0,3,0.0016375883125964506,0.001323558666087963,0.00031402964650848754,1.2372615997722742,0.0003140296465084876,7.937472633344863e-05,0.00011685189545629045,0.0005112073975606847,0.0038630504723074902,0.003061111621920847,0.000801938850386643,6.920227288449742e-05,0.0006300308745689606,0.0009738468262043254
tdl_mix,urban_all,-10.0,3,0.39729285534517267,0.39994421122986595,-0.002651355884693285,0.9933706856850356,-0.0026513558846933036,0.0002796440857773256,-0.0033460303040668275,-0.0019566814653197797,0.6582831030274615,0.6599761954060307,-0.001693092378569257,0.0003344411505370234,-0.0025238902530106905,-0.0008622945041278238
